Name,Year,Rec,Yards,TD,Team Rec,Team Attempts,Team Yard,Team TD,MSREC,MSYD,MSTD,YPC,YDPTA,TDPTA,Rush Attempts,Rush Yards,Rush TD,P Ret,P Yds,P TD,K Ret,K Yds,K TD,BO Age,Age,Draft Pick,Height,Weight,40 time,Vert,Broad,3 cone,Shuttle,Adj CarAV,Proj AV3
Sammy Watkins,2014,101,1464,12,341,491,4330,39,0.296187683,0.338106236,0.307692308,14.4950495,2.981670061,0.024439919,52,339,1,6,23,0,60,1376,1,20,20,4,72,211,4.43,34,126,6.95,4.34,7.33,
Mike Evans,2014,69,1394,12,339,489,4593,40,0.203539823,0.303505334,0.3,20.20289855,2.850715746,0.024539877,0,0,0,0,0,0,0,0,0,20,20,7,76,231,4.53,37,,7.08,4.26,9.00,
Odell Beckham,2014,59,1152,8,205,325,3263,23,0.287804878,0.353049341,0.347826087,19.52542373,3.544615385,0.024615385,7,77,0,62,557,2,42,1044,0,21,21,12,71,198,4.43,38.5,122,6.69,3.94,11.33,
Brandin Cooks,2014,128,1730,16,413,623,4844,38,0.309927361,0.357142857,0.421052632,13.515625,2.776886035,0.025682183,61,340,2,12,72,0,8,179,0,20,20,20,69,189,4.33,36,120,6.76,3.81,8.00,
DeAndre Hopkins,2013,82,1405,18,318,472,4181,40,0.257861635,0.336044009,0.45,17.13414634,2.976694915,0.038135593,0,0,0,12,82,0,2,32,0,20,20,27,73,214,4.57,36,115,6.83,4.5,8.25,
Kelvin Benjamin,2014,54,1011,15,288,441,4423,42,0.1875,0.228577888,0.357142857,18.72222222,2.292517007,0.034013605,2,33,0,0,0,0,0,0,0,22,22,28,77,240,4.61,32.5,119,7.33,4.39,5.33,
Cordarelle Patterson,2013,46,778,5,284,476,3759,35,0.161971831,0.206969939,0.142857143,16.91304348,1.634453782,0.010504202,25,308,3,4,101,1,24,671,1,21,21,29,74,216,4.42,37,128,7.28,4.4,4.75,
Justin Hunter,2013,73,1083,9,285,477,3787,35,0.256140351,0.285978347,0.257142857,14.83561644,2.270440252,0.018867925,0,0,0,4,21,0,0,0,0,21,21,34,76,196,4.44,39.5,136,7.19,4.33,2.50,
Marqise Lee,2014,57,791,4,194,297,2446,15,0.293814433,0.323385119,0.266666667,13.87719298,2.663299663,0.013468013,24,146,0,8,46,0,50,1305,2,21,22,39,71,192,4.52,38,127,6.96,4.01,4.00,
Robert Woods,2013,76,846,11,284,458,3670,39,0.267605634,0.230517711,0.282051282,11.13157895,1.847161572,0.024017467,14,142,0,31,183,0,55,1364,1,19,20,41,72,201,4.51,33.5,117,7.15,4.47,5.25,
Jordan Matthews,2014,112,1477,7,243,376,2958,15,0.46090535,0.499323867,0.466666667,13.1875,3.928191489,0.018617021,9,115,1,6,53,0,1,32,0,20,21,42,75,212,4.46,35.5,120,6.95,4.18,6.67,
Paul Richardson,2014,83,1343,10,234,409,2914,20,0.354700855,0.460878518,0.5,16.18072289,3.283618582,0.024449878,9,38,0,1,4,0,0,0,0,21,21,45,72,175,4.4,38,124,7.09,4.23,1.67,
Davante Adams,2014,131,1719,24,461,674,5134,50,0.284164859,0.334826646,0.48,13.1221374,2.550445104,0.035608309,0,0,0,2,16,0,0,0,0,21,21,53,73,212,4.56,39.5,123,6.82,4.3,6.33,
Aaron Dobson,2013,57,679,3,367,523,3788,34,0.155313351,0.179250264,0.088235294,11.9122807,1.298279159,0.005736138,3,19,0,0,0,0,0,0,0,21,21,59,74,210,4.37,35,121,7.19,4.33,2.00,
Allen Robinson,2014,97,1432,6,241,407,3110,21,0.402489627,0.460450161,0.285714286,14.7628866,3.518427518,0.014742015,6,36,0,0,0,0,0,0,0,20,20,61,74,220,4.6,39,127,7,4,6.67,
Jarvis Landry,2014,77,1193,10,205,326,3263,23,0.375609756,0.365614465,0.434782609,15.49350649,3.659509202,0.030674847,0,0,0,3,38,0,5,87,0,21,21,63,71,205,4.77,28.5,110,7.56,4.59,8.33,
Terrance Williams,2013,97,1832,12,294,475,4427,34,0.329931973,0.41382426,0.352941176,18.88659794,3.856842105,0.025263158,3,17,0,13,162,0,53,1180,0,23,23,74,74,208,4.52,32.5,119,7.01,4.32,6.25,
Marquise Goodwin,2013,26,340,3,268,399,3421,25,0.097014925,0.099386144,0.12,13.07692308,0.852130326,0.007518797,46,405,3,1,22,0,44,985,1,22,22,78,69,183,4.27,42,132,6.66,4.09,1.75,
Markus Wheaton,2013,91,1244,11,315,503,3992,27,0.288888889,0.311623246,0.407407407,13.67032967,2.473161034,0.021868787,83,631,5,3,68,0,4,81,0,21,21,79,71,189,4.45,37,120,6.8,4.02,3.25,
Josh Huff,2014,62,1140,12,256,405,3789,32,0.2421875,0.300870942,0.375,18.38709677,2.814814815,0.02962963,18,242,2,1,2,0,43,988,0,22,22,86,71,206,4.51,35.5,116,6.96,4.12,2.00,
Donte Moncrief,2014,59,938,6,310,489,3683,24,0.190322581,0.254683682,0.25,15.89830508,1.918200409,0.012269939,0,0,0,0,0,0,0,0,0,20,20,90,74,221,4.4,39.5,132,7.02,4.3,4.33,
Stedman Bailey,2013,114,1622,25,378,537,4292,44,0.301587302,0.377912395,0.568181818,14.22807018,3.020484171,0.046554935,2,13,0,0,0,0,14,213,0,22,22,92,70,193,4.52,34.5,117,6.81,4.09,2.33,
Ace Sanders,2013,45,531,9,224,362,3079,28,0.200892857,0.17245859,0.321428571,11.8,1.466850829,0.024861878,12,72,0,53,594,3,2,24,0,21,21,101,67,173,4.58,32,117,6.81,4.37,1.50,
Josh Boyce,2013,66,891,7,237,399,3075,26,0.278481013,0.289756098,0.269230769,13.5,2.233082707,0.01754386,4,7,1,0,0,0,3,93,0,21,21,102,71,206,4.38,34,131,6.68,4.1,0.50,
Jalen Saunders,2014,61,729,8,225,382,2588,24,0.271111111,0.281684699,0.333333333,11.95081967,1.908376963,0.020942408,32,301,2,31,465,3,33,798,0,21,21,104,69,165,4.44,34,122,7.29,4.34,0.00,
Bruce Ellington,2014,49,775,8,238,381,3291,29,0.205882353,0.235490732,0.275862069,15.81632653,2.034120735,0.020997375,25,148,1,3,16,0,43,977,0,22,22,106,69,197,4.45,39.5,120,6.69,3.95,0.67,
Shaq Evans,2014,47,709,9,265,391,3269,25,0.177358491,0.216885898,0.36,15.08510638,1.813299233,0.023017903,2,6,0,26,200,0,1,22,0,22,22,115,73,213,4.51,34.5,122,7.07,4.21,0.00,
Martavis Bryant,2014,42,828,7,341,493,4330,39,0.123167155,0.191224018,0.179487179,19.71428571,1.679513185,0.014198783,1,17,0,0,0,0,14,291,0,22,22,118,75,211,4.42,39,124,7.18,4.15,4.00,
Kevin Norwood,2014,38,568,7,223,338,2958,28,0.170403587,0.192021636,0.25,14.94736842,1.680473373,0.020710059,0,0,0,0,0,0,1,22,0,24,24,123,74,198,4.48,33,121,6.68,4.32,0.33,
Chris Harper,2013,58,857,3,203,314,2696,16,0.285714286,0.317878338,0.1875,14.77586207,2.729299363,0.00955414,8,45,0,0,0,0,2,27,0,23,23,123,70,182,4.53,35,120,7.03,4.36,0.00,
Quinton Patton,2013,104,1392,13,365,531,4209,33,0.284931507,0.330719886,0.393939394,13.38461538,2.621468927,0.024482109,11,37,0,8,27,0,7,108,0,21,22,128,72,204,4.53,33,118,6.91,4.01,1.75,
Ryan Grant,2014,77,1039,9,219,407,2399,19,0.351598174,0.433097124,0.473684211,13.49350649,2.552825553,0.022113022,5,3,0,0,0,0,0,0,0,23,23,142,72,199,4.64,35.5,119,6.68,4.11,1.00,
Kenny Stills,2013,82,959,11,376,571,4374,30,0.218085106,0.219250114,0.366666667,11.69512195,1.679509632,0.019264448,3,23,0,9,54,0,0,0,0,20,20,144,72,194,4.38,33.5,124,7.13,4.35,5.75,
Devin Street,2014,51,854,7,196,318,2457,18,0.260204082,0.347578348,0.388888889,16.74509804,2.685534591,0.022012579,11,77,0,0,0,0,0,0,0,22,22,146,75,198,4.55,37,124,6.89,4.01,0.33,
Tavarres King,2013,42,950,9,253,397,3991,37,0.166007905,0.23803558,0.243243243,22.61904762,2.392947103,0.022670025,3,5,0,0,0,0,0,0,0,22,22,161,72,189,4.47,36.5,123,6.91,4.33,0.00,
Corey Fuller,2013,43,815,6,224,436,3002,18,0.191964286,0.271485676,0.333333333,18.95348837,1.869266055,0.013761468,1,10,0,0,0,0,0,0,0,22,22,171,74,204,4.43,31.5,120,7.17,4.48,1.50,
Jared Abbrederis,2014,78,1081,7,217,353,2562,22,0.359447005,0.421935988,0.318181818,13.85897436,3.062322946,0.019830028,28,291,2,55,587,1,31,800,0,23,23,176,73,195,4.5,30.5,117,6.8,4.08,0.33,
Robert Herron,2014,72,932,9,297,473,3389,29,0.242424242,0.275007377,0.310344828,12.94444444,1.970401691,0.019027484,54,310,0,0,0,0,3,31,0,21,21,185,69,193,4.48,35.5,125,6.84,4.27,0.00,
Justin Brown,2013,73,879,5,376,571,4374,30,0.194148936,0.200960219,0.166666667,12.04109589,1.539404553,0.008756567,3,-12,0,71,637,1,0,0,0,21,21,186,75,207,4.6,30.5,117,6.96,4.31,1.00,
TJ Jones,2014,70,1108,9,226,428,3313,27,0.309734513,0.334440085,0.333333333,15.82857143,2.588785047,0.021028037,10,75,2,14,106,0,0,0,0,21,21,189,71,188,4.48,33,119,6.82,4.27,0.67,
Cobi Hamilton,2013,90,1335,5,272,458,3618,23,0.330882353,0.368988391,0.217391304,14.83333333,2.914847162,0.010917031,1,-8,0,0,0,0,9,192,0,22,22,197,73,212,4.56,29.5,107,7.09,4.31,1.00,
Brice Butler,2013,24,347,4,182,307,2287,21,0.131868132,0.151727153,0.19047619,14.45833333,1.13029316,0.013029316,0,0,0,0,0,0,0,0,0,22,22,209,75,214,4.37,39,129,6.7,4.4,1.75,
Michael Campanaro,2014,67,803,6,170,302,1798,12,0.394117647,0.446607341,0.5,11.98507463,2.658940397,0.01986755,51,238,2,26,156,1,35,828,0,22,22,218,69,192,4.46,39,122,6.77,4.01,0.33,
Kevin Dorsey,2013,18,311,4,165,303,2181,17,0.109090909,0.14259514,0.235294118,17.27777778,1.02640264,0.01320132,1,4,0,0,0,0,0,0,0,22,22,224,73,207,4.47,38,130,7.08,4.28,0.00,
Marquess Wilson,2013,52,813,5,272,465,2918,17,0.191176471,0.27861549,0.294117647,15.63461538,1.748387097,0.010752688,3,10,0,0,0,0,0,0,0,18,20,236,74,194,4.51,34.5,122,6.65,4.33,1.50,
Tevin Reese,2014,38,867,8,179,267,3277,23,0.212290503,0.264571254,0.347826087,22.81578947,3.247191011,0.029962547,11,136,0,0,0,0,1,23,0,22,22,240,70,163,4.46,41,132,6.63,4.18,0.00,
Jeremy Gallon,2014,89,1373,9,237,392,3221,21,0.375527426,0.426265135,0.428571429,15.42696629,3.50255102,0.022959184,17,97,0,47,333,0,32,658,0,23,23,244,67,185,4.49,39.5,130,7.07,4.26,0.00,
